"RegioS","Perioden","MediaanPersoonlijkInkomen_7","GemiddeldPersoonlijkInkomen_6"
"CR26  ","2021JJ00",7.8,12.2
"CR26  ","2022JJ00",8.4,13.2
"CR26  ","2023JJ00",9.5,14.3
"CR26  ","2024JJ00",10.8,15.7
"CR27  ","2011JJ00",6.1,10.2
"CR27  ","2012JJ00",6.1,10.1
"CR27  ","2013JJ00",6,9.9
"CR27  ","2014JJ00",6,9.8
"CR27  ","2015JJ00",5.9,9.8
"CR27  ","2016JJ00",5.9,10
"CR27  ","2017JJ00",6,10.3
"CR27  ","2018JJ00",6,10.7
"CR27  ","2019JJ00",6.3,11.1
"CR27  ","2020JJ00",6.7,11.6
"CR27  ","2021JJ00",7.1,12
"CR27  ","2022JJ00",7.3,12.5
"CR27  ","2023JJ00",8.6,13.9
"CR27  ","2024JJ00",10.3,15.5
"CR28  ","2011JJ00",7.5,11.6
"CR28  ","2012JJ00",7.3,11.3
"CR28  ","2013JJ00",7.1,11.2
"CR28  ","2014JJ00",6.9,11
"CR28  ","2015JJ00",7.1,11.2
"CR28  ","2016JJ00",7,11.3
"CR28  ","2017JJ00",7.2,11.7
"CR28  ","2018JJ00",7.6,12.3
"CR28  ","2019JJ00",7.9,12.9
"CR28  ","2020JJ00",8.6,13.5
"CR28  ","2021JJ00",9,14
"CR28  ","2022JJ00",10,15.1
"CR28  ","2023JJ00",11.5,16.7
"CR28  ","2024JJ00",13.2,18.4
"CR29  ","2011JJ00",7.3,11.1
"CR29  ","2012JJ00",7,10.9
"CR29  ","2013JJ00",6.7,10.6
"CR29  ","2014JJ00",6.6,10.5
"CR29  ","2015JJ00",6.7,10.6
"CR29  ","2016JJ00",6.7,10.7
"CR29  ","2017JJ00",7,11.1
"CR29  ","2018JJ00",7.4,11.7
